Ngay;Ttb;GHI;A;;;;
2021-10-07;29;1,186;61559;;;;
2021-10-08;27;0,422;24502;;;;
2021-10-09;34;3,904;221231;;;;
2021-10-10;32;3,647;174546;;;;
2021-10-11;33;5,053;237248;;;;
2021-10-12;27;0,745;38642;;;;
2021-10-13;26;0,927;44354;;;;
2021-10-14;28;2,109;97190;;;;
2021-10-15;30;2,729;122444;;;;
2021-10-16;27;0,402;19225;;;;
2021-10-17;27;0,193;9043;;;;
2021-10-18;27;0,953;43895;;;;
2021-10-19;25;0,697;36157;;;;
2021-10-20;30;2,812;163124;;;;
2021-10-21;31;4,941;236514;;;;
2021-10-22;27;0,425;24630;;;;
2021-10-23;21;0,447;25338;;;;
2021-10-24;25;0,281;13453;;;;
2021-10-25;27;0,630;29027;;;;
2021-10-26;27;1,751;99234;;;;
2021-10-27;27;1,277;58848;;;;
2021-10-28;29;2,511;130299;;;;
2021-10-29;27;1,110;64381;;;;
2021-10-30;28;2,443;114694;;;;
2021-10-31;29;3,076;178420;;;;
2021-11-01;27;2,108;100918;;;;
2021-11-02;29;3,421;177551;;;;
2021-11-03;31;3,040;164670;;;;
2021-11-04;30;3,073;174152;;;;
2021-11-05;30;4,716;221445;;;;
2021-11-06;30;4,975;229204;;;;
2021-11-07;30;3,129;162392;;;;
2021-11-08;25;0,347;20127;;;;
2021-11-09;21;0,571;32351;;;;
2021-11-10;21;0,317;15166;;;;
2021-11-11;21;0,694;32597;;;;
2021-11-12;24;1,188;61662;;;;
2021-11-13;23;0,441;21093;;;;
2021-11-14;21;0,515;23741;;;;
2021-11-15;22;0,256;11475;;;;
2021-11-16;28;2,736;130932;;;;
2021-11-17;28;1,705;80062;;;;
2021-11-18;27;1,091;50248;;;;
2021-11-19;27;2,962;153695;;;;
2021-11-20;30;3,695;214288;;;;
2021-11-21;30;3,696;176920;;;;
2021-11-22;29;2,641;153173;;;;
2021-11-23;22;0,464;26298;;;;
2021-11-24;20;0,741;35461;;;;
2021-11-25;20;0,849;39096;;;;
2021-11-26;21;0,699;39629;;;;
2021-11-27;23;1,019;46947;;;;
2021-11-28;24;0,411;21349;;;;
2021-11-29;22;0,369;21375;;;;
2021-11-30;26;2,781;130563;;;;
2021-12-01;22;0,352;16848;;;;
